"","V1","V2","V3","V4"
"data_i","edited May 15 '20 at 02:44","
        What does the ??!??! operator do in C?
    ","I saw a line of C that looked like this:!ErrorHasOccured() ??!??! HandleError();It compiled correctly and seems to run ok. It seems like it's checking if an error has occurred, and if it has, it handles it. But I'm not really sure what it's actually doing or how it's doing it. It does look like the programmer is trying express their feelings about errors.I have never seen the ??!??! before in any programming language, and I can't find documentation for it anywhere. (Google doesn't help with search terms like ??!??!). What does it do and how does the code sample work?","??! is a trigraph that translates to |. So it says:!ErrorHasOccured() || HandleError();which, due to short circuiting, is equivalent to:if (ErrorHasOccured())    HandleError();Guru of the Week (deals with C++ but relevant here), where I picked this up.Possible origin of trigraphs or as @DwB points out in the comments it's more likely due to EBCDIC being difficult (again). This discussion on the IBM developerworks board seems to support that theory.From ISO/IEC 9899:1999 §5.2.1.1, footnote 12 (h/t @Random832):The trigraph sequences enable the input of characters that are not defined in the Invariant Code Set asdescribed in ISO/IEC 646, which is a subset of the seven-bit US ASCII code set."
"data_i","edited Mar 13 '19 at 10:58","
        Iterate through object properties
    ","var obj = {    name: ""Simon"",    age: ""20"",    clothing: {        style: ""simple"",        hipster: false    }}for(var propt in obj){    console.log(propt + ': ' + obj[propt]);}How does the variable propt represent the properties of the object? It's not a built-in method or property. Why does it come up with every property in the object?","Iterating over properties requires this additional hasOwnProperty check: for (var prop in obj) {    if (Object.prototype.hasOwnProperty.call(obj, prop)) {        // do stuff    }}It's necessary because an object's prototype contains additional properties for the object which are technically part of the object. These additional properties are inherited from the base object class, but are still properties of obj.hasOwnProperty simply checks to see if this is a property specific to this class, and not one inherited from the base class.It's also possible to call hasOwnProperty through the object itself:if (obj.hasOwnProperty(prop)) {    // do stuff}But this will fail if the object has an unrelated field with the same name:var obj = { foo: 42, hasOwnProperty: 'lol' };obj.hasOwnProperty('foo');  // TypeError: hasOwnProperty is not a functionThat's why it's safer to call it through Object.prototype instead:var obj = { foo: 42, hasOwnProperty: 'lol' };Object.prototype.hasOwnProperty.call(obj, 'foo');  // true"
"data_i","edited Oct 25 '21 at 23:00","
        Showing which files have changed between two revisions
    ","I want to merge two branches that have been separated for a while and wanted to know which files have been modified.Came across this link: http://linux.yyz.us/git-howto.html which was quite useful.The tools to compare branches I've come across are:git diff master..branchgit log master..branchgit shortlog master..branchWas wondering if there's something like ""git status master..branch"" to only see those files that are different between the two branches.Without creating a new tool, I think this is the closest you can get to do that now (which of course will show repeats if a file was modified more than once):git diff master..branch | grep ""^diff""Was wondering if there's something I missed...","To compare the current branch against main branch:$ git diff --name-status mainTo compare any two branches:$ git diff --name-status firstbranch..yourBranchNameThere is more options to git diff in the official documentation (and specifically --name-status option)."
"data_i","edited Jul 04 '22 at 21:56","
        What is the copy-and-swap idiom?
    ","What is the copy-and-swap idiom and when should it be used? What problems does it solve? Does it change for C++11?Related:What are your favorite C++ Coding Style idioms:  Copy-swapCopy constructor and = operator overload in C++: is a common function possible?What is copy elision and how it optimizes copy-and-swap idiomC++: dynamically allocating an array of objects?","OverviewWhy do we need the copy-and-swap idiom?Any class that manages a resource (a wrapper, like a smart pointer) needs to implement The Big Three. While the goals and implementation of the copy-constructor and destructor are straightforward, the copy-assignment operator is arguably the most nuanced and difficult. How should it be done? What pitfalls need to be avoided?The copy-and-swap idiom is the solution, and elegantly assists the assignment operator in achieving two things: avoiding code duplication, and providing a strong exception guarantee.How does it work?Conceptually, it works by using the copy-constructor's functionality to create a local copy of the data, then takes the copied data with a swap function, swapping the old data with the new data. The temporary copy then destructs, taking the old data with it. We are left with a copy of the new data.In order to use the copy-and-swap idiom, we need three things: a working copy-constructor, a working destructor (both are the basis of any wrapper, so should be complete anyway), and a swap function.A swap function is a non-throwing function that swaps two objects of a class, member for member. We might be tempted to use std::swap instead of providing our own, but this would be impossible; std::swap uses the copy-constructor and copy-assignment operator within its implementation, and we'd ultimately be trying to define the assignment operator in terms of itself!(Not only that, but unqualified calls to swap will use our custom swap operator, skipping over the unnecessary construction and destruction of our class that std::swap would entail.)An in-depth explanationThe goalLet's consider a concrete case. We want to manage, in an otherwise useless class, a dynamic array. We start with a working constructor, copy-constructor, and destructor:#include <algorithm> // std::copy#include <cstddef> // std::size_tclass dumb_array{public:    // (default) constructor    dumb_array(std::size_t size = 0)        : mSize(size),          mArray(mSize ? new int[mSize]() : nullptr)    {    }    // copy-constructor    dumb_array(const dumb_array& other)        : mSize(other.mSize),          mArray(mSize ? new int[mSize] : nullptr)    {        // note that this is non-throwing, because of the data        // types being used; more attention to detail with regards        // to exceptions must be given in a more general case, however        std::copy(other.mArray, other.mArray + mSize, mArray);    }    // destructor    ~dumb_array()    {        delete [] mArray;    }private:    std::size_t mSize;    int* mArray;};This class almost manages the array successfully, but it needs operator= to work correctly.A failed solutionHere's how a naive implementation might look:// the hard partdumb_array& operator=(const dumb_array& other){    if (this != &other) // (1)    {        // get rid of the old data...        delete [] mArray; // (2)        mArray = nullptr; // (2) *(see footnote for rationale)        // ...and put in the new        mSize = other.mSize; // (3)        mArray = mSize ? new int[mSize] : nullptr; // (3)        std::copy(other.mArray, other.mArray + mSize, mArray); // (3)    }    return *this;}And we say we're finished; this now manages an array, without leaks. However, it suffers from three problems, marked sequentially in the code as (n).The first is the self-assignment test.This check serves two purposes: it's an easy way to prevent us from running needless code on self-assignment, and it protects us from subtle bugs (such as deleting the array only to try and copy it). But in all other cases it merely serves to slow the program down, and act as noise in the code; self-assignment rarely occurs, so most of the time this check is a waste.It would be better if the operator could work properly without it.The second is that it only provides a basic exception guarantee. If new int[mSize] fails, *this will have been modified. (Namely, the size is wrong and the data is gone!)For a strong exception guarantee, it would need to be something akin to: dumb_array& operator=(const dumb_array& other) {     if (this != &other) // (1)     {         // get the new data ready before we replace the old         std::size_t newSize = other.mSize;         int* newArray = newSize ? new int[newSize]() : nullptr; // (3)         std::copy(other.mArray, other.mArray + newSize, newArray); // (3)         // replace the old data (all are non-throwing)         delete [] mArray;         mSize = newSize;         mArray = newArray;     }     return *this; }The code has expanded! Which leads us to the third problem: code duplication.Our assignment operator effectively duplicates all the code we've already written elsewhere, and that's a terrible thing.In our case, the core of it is only two lines (the allocation and the copy), but with more complex resources this code bloat can be quite a hassle. We should strive to never repeat ourselves.(One might wonder: if this much code is needed to manage one resource correctly, what if my class manages more than one?While this may seem to be a valid concern, and indeed it requires non-trivial try/catch clauses, this is a non-issue.That's because a class should manage one resource only!)A successful solutionAs mentioned, the copy-and-swap idiom will fix all these issues. But right now, we have all the requirements except one: a swap function. While The Rule of Three successfully entails the existence of our copy-constructor, assignment operator, and destructor, it should really be called ""The Big Three and A Half"": any time your class manages a resource it also makes sense to provide a swap function.We need to add swap functionality to our class, and we do that as follows†:class dumb_array{public:    // ...    friend void swap(dumb_array& first, dumb_array& second) // nothrow    {        // enable ADL (not necessary in our case, but good practice)        using std::swap;        // by swapping the members of two objects,        // the two objects are effectively swapped        swap(first.mSize, second.mSize);        swap(first.mArray, second.mArray);    }    // ...};(Here is the explanation why public friend swap.) Now not only can we swap our dumb_array's, but swaps in general can be more efficient; it merely swaps pointers and sizes, rather than allocating and copying entire arrays. Aside from this bonus in functionality and efficiency, we are now ready to implement the copy-and-swap idiom.Without further ado, our assignment operator is:dumb_array& operator=(dumb_array other) // (1){    swap(*this, other); // (2)    return *this;}And that's it! With one fell swoop, all three problems are elegantly tackled at once.Why does it work?We first notice an important choice: the parameter argument is taken by-value. While one could just as easily do the following (and indeed, many naive implementations of the idiom do):dumb_array& operator=(const dumb_array& other){    dumb_array temp(other);    swap(*this, temp);    return *this;}We lose an important optimization opportunity. Not only that, but this choice is critical in C++11, which is discussed later. (On a general note, a remarkably useful guideline is as follows: if you're going to make a copy of something in a function, let the compiler do it in the parameter list.‡)Either way, this method of obtaining our resource is the key to eliminating code duplication: we get to use the code from the copy-constructor to make the copy, and never need to repeat any bit of it. Now that the copy is made, we are ready to swap.Observe that upon entering the function that all the new data is already allocated, copied, and ready to be used. This is what gives us a strong exception guarantee for free: we won't even enter the function if construction of the copy fails, and it's therefore not possible to alter the state of *this. (What we did manually before for a strong exception guarantee, the compiler is doing for us now; how kind.)At this point we are home-free, because swap is non-throwing. We swap our current data with the copied data, safely altering our state, and the old data gets put into the temporary. The old data is then released when the function returns. (Where upon the parameter's scope ends and its destructor is called.)Because the idiom repeats no code, we cannot introduce bugs within the operator. Note that this means we are rid of the need for a self-assignment check, allowing a single uniform implementation of operator=. (Additionally, we no longer have a performance penalty on non-self-assignments.)And that is the copy-and-swap idiom.What about C++11?The next version of C++, C++11, makes one very important change to how we manage resources: the Rule of Three is now The Rule of Four (and a half). Why? Because not only do we need to be able to copy-construct our resource, we need to move-construct it as well.Luckily for us, this is easy:class dumb_array{public:    // ...    // move constructor    dumb_array(dumb_array&& other) noexcept ††        : dumb_array() // initialize via default constructor, C++11 only    {        swap(*this, other);    }    // ...};What's going on here? Recall the goal of move-construction: to take the resources from another instance of the class, leaving it in a state guaranteed to be assignable and destructible.So what we've done is simple: initialize via the default constructor (a C++11 feature), then swap with other; we know a default constructed instance of our class can safely be assigned and destructed, so we know other will be able to do the same, after swapping.(Note that some compilers do not support constructor delegation; in this case, we have to manually default construct the class. This is an unfortunate but luckily trivial task.)Why does that work?That is the only change we need to make to our class, so why does it work? Remember the ever-important decision we made to make the parameter a value and not a reference:dumb_array& operator=(dumb_array other); // (1)Now, if other is being initialized with an rvalue, it will be move-constructed. Perfect. In the same way C++03 let us re-use our copy-constructor functionality by taking the argument by-value, C++11 will automatically pick the move-constructor when appropriate as well. (And, of course, as mentioned in previously linked article, the copying/moving of the value may simply be elided altogether.)And so concludes the copy-and-swap idiom.Footnotes*Why do we set mArray to null? Because if any further code in the operator throws, the destructor of dumb_array might be called; and if that happens without setting it to null, we attempt to delete memory that's already been deleted! We avoid this by setting it to null, as deleting null is a no-operation.†There are other claims that we should specialize std::swap for our type, provide an in-class swap along-side a free-function swap, etc. But this is all unnecessary: any proper use of swap will be through an unqualified call, and our function will be found through ADL. One function will do.‡The reason is simple: once you have the resource to yourself, you may swap and/or move it (C++11) anywhere it needs to be. And by making the copy in the parameter list, you maximize optimization.††The move constructor should generally be noexcept, otherwise some code (e.g. std::vector resizing logic) will use the copy constructor even when a move would make sense. Of course, only mark it noexcept if the code inside doesn't throw exceptions."
"data_i","edited Aug 10 '21 at 17:32","
        How to get an enum value from a string value in Java
    ","Say I have an enum which is justpublic enum Blah {    A, B, C, D}and I would like to find the enum value of a string, for example ""A"" which would be Blah.A. How would it be possible to do this?Is the Enum.valueOf() the method I need? If so, how would I use this?","Yes, Blah.valueOf(""A"") will give you Blah.A.Note that the name must be an exact match, including case: Blah.valueOf(""a"") and Blah.valueOf(""A "") both throw an IllegalArgumentException.The static methods valueOf() and values() are created at compile time and do not appear in source code. They do appear in Javadoc, though; for example, Dialog.ModalityType shows both methods."
"data_i","edited Jun 04 '22 at 21:43","
        Calling a function of a module by using its name (a string)
    ","How do I call a function, using a string with the function's name? For example:import foofunc_name = ""bar""call(foo, func_name)  # calls foo.bar()","Given a module foo with method bar:import foobar = getattr(foo, 'bar')result = bar()getattr can similarly be used on class instance bound methods, module-level methods, class methods... the list goes on."
"data_i","edited Aug 20 '21 at 16:15","
        How to concatenate text from multiple rows into a single text string in SQL Server
    ","Consider a database table holding names, with three rows:PeterPaulMaryIs there an easy way to turn this into a single string of Peter, Paul, Mary?","If you are on SQL Server 2017 or Azure, see Mathieu Renda answer.I had a similar issue when I was trying to join two tables with one-to-many relationships. In SQL 2005 I found that XML PATH method can handle the concatenation of the rows very easily.If there is a table called STUDENTSSubjectID       StudentName----------      -------------1               Mary1               John1               Sam2               Alaina2               EdwardResult I expected was:SubjectID       StudentName----------      -------------1               Mary, John, Sam2               Alaina, EdwardI used the following T-SQL:SELECT Main.SubjectID,       LEFT(Main.Students,Len(Main.Students)-1) As ""Students""FROM    (        SELECT DISTINCT ST2.SubjectID,             (                SELECT ST1.StudentName + ',' AS [text()]                FROM dbo.Students ST1                WHERE ST1.SubjectID = ST2.SubjectID                ORDER BY ST1.SubjectID                FOR XML PATH (''), TYPE            ).value('text()[1]','nvarchar(max)') [Students]        FROM dbo.Students ST2    ) [Main]You can do the same thing in a more compact way if you can concat the commas at the beginning and use substring to skip the first one so you don't need to do a sub-query:SELECT DISTINCT ST2.SubjectID,     SUBSTRING(        (            SELECT ','+ST1.StudentName  AS [text()]            FROM dbo.Students ST1            WHERE ST1.SubjectID = ST2.SubjectID            ORDER BY ST1.SubjectID            FOR XML PATH (''), TYPE        ).value('text()[1]','nvarchar(max)'), 2, 1000) [Students]FROM dbo.Students ST2"
"data_i","edited Dec 17 '20 at 09:13","
        How do I break a string in YAML over multiple lines?
    ","In YAML, I have a string that's very long. I want to keep this within the 80-column (or so) view of my editor, so I'd like to break the string. What's the syntax for this?In other words, I have this:Key: 'this is my very very very very very very long string'and I'd like to have this (or something to this effect):Key: 'this is my very very very ' +     'long string'I'd like to use quotes as above, so I don't need to escape anything within the string.","There are 5 6 NINE (or 63*, depending how you count) different ways to write multi-line strings in YAML.TL;DRUse > most of the time: interior line breaks are stripped out, although you get one at the end:  key: >    Your long    string here.Use | if you want those linebreaks to be preserved as \n (for instance, embedded markdown with paragraphs).  key: |    ### Heading    * Bullet    * PointsUse >- or |- instead if you don't want a linebreak appended at the end.Use ""..."" if you need to split lines in the middle of words or want to literally type linebreaks as \n:  key: ""Antidisestab\   lishmentarianism.\n\nGet on it.""YAML is crazy.Block scalar styles (>, |)These allow characters such as \ and "" without escaping, and add a new line (\n) to the end of your string.> Folded style removes single newlines within the string (but adds one at the end, and converts double newlines to singles):Key: >  this is my very very very  long string→ this is my very very very long string\nExtra leading space is retained and causes extra newlines. See note below.Advice: Use this. Usually this is what you want.| Literal styleturns every newline within the string into a literal newline, and adds one at the end:Key: |  this is my very very very   long string→ this is my very very very\nlong string\nHere's the official definition from the YAML Spec 1.2Scalar content can be written in block notation, using a literal style (indicated by “|”) where all line breaks are significant. Alternatively, they can be written with the folded style (denoted by “>”) where each line break is folded to a space unless it ends an empty or a more-indented line.Advice: Use this for inserting formatted text (especially Markdown) as a value.Block styles with block chomping indicator (>-, |-, >+, |+)You can control the handling of the final new line in the string, and any trailing blank lines (\n\n) by adding a block chomping indicator character:>, |: ""clip"": keep the line feed, remove the trailing blank lines.>-, |-: ""strip"": remove the line feed, remove the trailing blank lines.>+, |+: ""keep"": keep the line feed, keep trailing blank lines.""Flow"" scalar styles ( , "", ')These have limited escaping, and construct a single-line string with no new line characters. They can begin on the same line as the key, or with additional newlines first, which are stripped. Doubled newline characters become one newline.plain style (no escaping, no  # or :  combinations, first character can't be "", ' or many other punctuation characters ):Key: this is my very very very   long stringAdvice: Avoid. May look convenient, but you're liable to shoot yourself in the foot by accidentally using forbidden punctuation and triggering a syntax error.double-quoted style (\ and "" must be escaped by \, newlines can be inserted with a literal \n sequence, lines can be concatenated without spaces with trailing \):Key: ""this is my very very \""very\"" loooo\  ng string.\n\nLove, YAML.""→ ""this is my very very \""very\"" loooong string.\n\nLove, YAML."" Advice: Use in very specific situations. This is the only way you can break a very long token (like a URL) across lines without adding spaces. And maybe adding newlines mid-line is conceivably useful.single-quoted style (literal ' must be doubled, no special characters, possibly useful for expressing strings starting with double quotes):Key: 'this is my very very ""very""  long string, isn''t it.'→ ""this is my very very \""very\"" long string, isn't it.""Advice: Avoid. Very few benefits, mostly inconvenience.Block styles with indentation indicatorsJust in case the above isn't enough for you, you can add a ""block indentation indicator"" (after your block chomping indicator, if you have one):- >8        My long string        starts over here- |+1 This one starts hereNote: Leading spaces in Folded style (>)If you insert extra spaces at the start of not-the-first lines in Folded style, they will be kept, with a bonus newline. (This doesn't happen with flow styles.) Section 6.5:In addition, folding does not apply to line breaks surrounding text lines that contain leading white space. Note that such a more-indented line may consist only of such leading white space.- >    my long      string                        many spaces above- my long      string                        many spaces above    → [""my long\n  string\n                \nmany spaces above\n"",""my long string\nmany spaces above""]SummaryIn this table, _ means space character. \n means ""newline character"" (\n in JavaScript) except under ""Other features"". ""Leading space"" applies after the first line (which establishes the indent)>|""'>->+|-|+Spaces/newlines converted as:Trailing space →______Leading space  →\n_\n_\n_\n_\n_\n_Single newline →_\n_____\n\nDouble newline →\n\n\n\n\n\n\n\n\n\n\n\nFinal newline  →\n\n\n\nFinal double newline →\n\n\n\nHow to create a literal:Single quote''''''''''Double quote""""""\""""""""""""Backslash\\\\\\\\\\Other featuresIn-line newlines with \n✅Spaceless newlines with \✅ # or :  in value✅✅✅✅✅✅✅✅Can start on sameline as key✅✅✅ExamplesNote the trailing spaces on the line before ""spaces.""- >  very ""long""  'string' with  paragraph gap, \n and          spaces.- |   very ""long""  'string' with  paragraph gap, \n and          spaces.- very ""long""  'string' with  paragraph gap, \n and          spaces.- ""very \""long\""  'string' with  paragraph gap, \n and          s\  p\  a\  c\  e\  s.""- 'very ""long""  ''string'' with  paragraph gap, \n and          spaces.'- >-   very ""long""  'string' with  paragraph gap, \n and          spaces.[  ""very \""long\"" 'string' with\nparagraph gap, \\n and         spaces.\n"",   ""very \""long\""\n'string' with\n\nparagraph gap, \\n and        \nspaces.\n"",   ""very \""long\"" 'string' with\nparagraph gap, \\n and spaces."",   ""very \""long\"" 'string' with\nparagraph gap, \n and spaces."",   ""very \""long\"" 'string' with\nparagraph gap, \\n and spaces."",   ""very \""long\"" 'string' with\nparagraph gap, \\n and         spaces.""]*2 block styles, each with 2 possible block chomping indicators (or none), and with 9 possible indentation indicators (or none), 1 plain style and 2 quoted styles: 2 x (2 + 1) x (9 + 1) + 1 + 2 = 63Some of this information has also been summarised here."
"data_i","edited Dec 24 '21 at 15:45","
        How do you parse and process HTML/XML in PHP?
    ","How can one parse HTML/XML and extract information from it?","Native XML ExtensionsI prefer using one of the native XML extensions since they come bundled with PHP, are usually faster than all the 3rd party libs and give me all the control I need over the markup.DOMThe DOM extension allows you to operate on XML documents through the DOM API with PHP 5. It is an implementation of the W3C's Document Object Model Core Level 3, a platform- and language-neutral interface that allows programs and scripts to dynamically access and update the content, structure and style of documents.DOM is capable of parsing and modifying real world (broken) HTML and it can do XPath queries. It is based on libxml.It takes some time to get productive with DOM, but that time is well worth it IMO. Since DOM is a language-agnostic interface, you'll find implementations in many languages, so if you need to change your programming language, chances are you will already know how to use that language's DOM API then.How to use the DOM extension has been covered extensively on StackOverflow, so if you choose to use it, you can be sure most of the issues you run into can be solved by searching/browsing Stack Overflow.A basic usage example and a general conceptual overview are available in other answers.XMLReaderThe XMLReader extension is an XML pull parser. The reader acts as a cursor going forward on the document stream and stopping at each node on the way.XMLReader, like DOM, is based on libxml. I am not aware of how to trigger the HTML Parser Module, so chances are using XMLReader for parsing broken HTML might be less robust than using DOM where you can explicitly tell it to use libxml's HTML Parser Module.A basic usage example is available in another answer.XML ParserThis extension lets you create XML parsers and then define handlers for different XML events. Each XML parser also has a few parameters you can adjust.The XML Parser library is also based on libxml, and implements a SAX style XML push parser. It may be a better choice for memory management than DOM or SimpleXML, but will be more difficult to work with than the pull parser implemented by XMLReader.SimpleXmlThe SimpleXML extension provides a very simple and easily usable toolset to convert XML to an object that can be processed with normal property selectors and array iterators.SimpleXML is an option when you know the HTML is valid XHTML. If you need to parse broken HTML, don't even consider SimpleXml because it will choke.A basic usage example is available, and there are lots of additional examples in the PHP Manual.3rd Party Libraries (libxml based)If you prefer to use a 3rd-party lib, I'd suggest using a lib that actually uses DOM/libxml underneath instead of string parsing.FluentDomFluentDOM provides a jQuery-like fluent XML interface for the DOMDocument in PHP. Selectors are written in XPath or CSS (using a CSS to XPath converter). Current versions extend the DOM implementing standard interfaces and add features from the DOM Living Standard. FluentDOM can load formats like JSON, CSV, JsonML, RabbitFish and others. Can be installed via Composer.HtmlPageDomWa72\HtmlPageDom is a PHP library for easy manipulation of HTMLdocuments using DOM. It requires DomCrawler from Symfony2components for traversingthe DOM tree and extends it by adding methods for manipulating theDOM tree of HTML documents.phpQueryphpQuery is a server-side, chainable, CSS3 selector driven Document Object Model (DOM) API based on jQuery JavaScript Library.The library is written in PHP5 and provides additional Command Line Interface (CLI).This is described as ""abandonware and buggy: use at your own risk"" but does appear to be minimally maintained.laminas-domThe Laminas\Dom component (formerly Zend_DOM) provides tools for working with DOM documents and structures. Currently, we offer Laminas\Dom\Query, which provides a unified interface for querying DOM documents utilizing both XPath and CSS selectors.This package is considered feature-complete, and is now in security-only maintenance mode.fDOMDocumentfDOMDocument extends the standard DOM to use exceptions at all occasions of errors instead of PHP warnings or notices. They also add various custom methods and shortcuts for convenience and to simplify the usage of DOM.sabre/xmlsabre/xml is a library that wraps and extends the XMLReader and XMLWriter classes to create a simple ""xml to object/array"" mapping system and design pattern. Writing and reading XML is single-pass and can therefore be fast and require low memory on large xml files.FluidXMLFluidXML is a PHP library for manipulating XML with a concise and fluent API.It leverages XPath and the fluent programming pattern to be fun and effective.3rd-Party (not libxml-based)The benefit of building upon DOM/libxml is that you get good performance out of the box because you are based on a native extension. However, not all 3rd-party libs go down this route. Some of them listed belowPHP Simple HTML DOM ParserAn HTML DOM parser written in PHP5+ lets you manipulate HTML in a very easy way!Require PHP 5+.Supports invalid HTML.Find tags on an HTML page with selectors just like jQuery.Extract contents from HTML in a single line.I generally do not recommend this parser. The codebase is horrible and the parser itself is rather slow and memory hungry. Not all jQuery Selectors (such as child selectors) are possible. Any of the libxml based libraries should outperform this easily.PHP Html ParserPHPHtmlParser is a simple, flexible, html parser which allows you to select tags using any css selector, like jQuery. The goal is to assiste in the development of tools which require a quick, easy way to scrape html, whether it's valid or not! This project was original supported by sunra/php-simple-html-dom-parser but the support seems to have stopped so this project is my adaptation of his previous work.Again, I would not recommend this parser. It is rather slow with high CPU usage. There is also no function to clear memory of created DOM objects. These problems scale particularly with nested loops. The documentation itself is inaccurate and misspelled, with no responses to fixes since 14 Apr 16.HTML 5You can use the above for parsing HTML5, but there can be quirks due to the markup HTML5 allows. So for HTML5 you may want to consider using a dedicated parser. Note that these are written in PHP, so suffer from slower performance and increased memory usage compared to a compiled extension in a lower-level language.HTML5DomDocumentHTML5DOMDocument extends the native DOMDocument library. It fixes some bugs and adds some new functionality.Preserves html entities (DOMDocument does not)Preserves void tags (DOMDocument does not)Allows inserting HTML code that moves the correct parts to their proper places (head elements are inserted in the head, body elements in the body)Allows querying the DOM with CSS selectors (currently available: *, tagname, tagname#id, #id, tagname.classname, .classname, tagname.classname.classname2, .classname.classname2, tagname[attribute-selector], [attribute-selector], div, p, div p, div > p, div + p, and p ~ ul.)Adds support for element->classList.Adds support for element->innerHTML.Adds support for element->outerHTML.HTML5HTML5 is a standards-compliant HTML5 parser and writer written entirely in PHP. It is stable and used in many production websites, and has well over five million downloads.HTML5 provides the following features.An HTML5 serializerSupport for PHP namespacesComposer supportEvent-based (SAX-like) parserA DOM tree builderInteroperability with QueryPathRuns on PHP 5.3.0 or newerRegular ExpressionsLast and least recommended, you can extract data from HTML with regular expressions. In general using Regular Expressions on HTML is discouraged.Most of the snippets you will find on the web to match markup are brittle. In most cases they are only working for a very particular piece of HTML. Tiny markup changes, like adding whitespace somewhere, or adding, or changing attributes in a tag, can make the RegEx fails when it's not properly written. You should know what you are doing before using RegEx on HTML.HTML parsers already know the syntactical rules of HTML. Regular expressions have to be taught for each new RegEx you write. RegEx are fine in some cases, but it really depends on your use-case.You can write more reliable parsers, but writing a complete and reliable custom parser with regular expressions is a waste of time when the aforementioned libraries already exist and do a much better job on this.Also see Parsing Html The Cthulhu WayBooksIf you want to spend some money, have a look atPHP Architect's Guide to Webscraping with PHPI am not affiliated with PHP Architect or the authors."
"data_i","edited Feb 03 '17 at 15:20","
        Why doesn't GCC optimize a*a*a*a*a*a to (a*a*a)*(a*a*a)?
    ","I am doing some numerical optimization on a scientific application. One thing I noticed is that GCC will optimize the call pow(a,2) by compiling it into a*a, but the call pow(a,6) is not optimized and will actually call the library function pow, which greatly slows down the performance. (In contrast, Intel C++ Compiler, executable icc, will eliminate the library call for pow(a,6).) What I am curious about is that when I replaced pow(a,6) with a*a*a*a*a*a using GCC 4.5.1 and options ""-O3 -lm -funroll-loops -msse4"", it uses 5 mulsd instructions:movapd  %xmm14, %xmm13mulsd   %xmm14, %xmm13mulsd   %xmm14, %xmm13mulsd   %xmm14, %xmm13mulsd   %xmm14, %xmm13mulsd   %xmm14, %xmm13while if I write (a*a*a)*(a*a*a), it will producemovapd  %xmm14, %xmm13mulsd   %xmm14, %xmm13mulsd   %xmm14, %xmm13mulsd   %xmm13, %xmm13which reduces the number of multiply instructions to 3. icc has similar behavior.Why do compilers not recognize this optimization trick?","Because Floating Point Math is not Associative.  The way you group the operands in floating point multiplication has an effect on the numerical accuracy of the answer.As a result, most compilers are very conservative about reordering floating point calculations unless they can be sure that the answer will stay the same, or unless you tell them you don't care about numerical accuracy.  For example: the -fassociative-math option of gcc which allows gcc to reassociate floating point operations, or even the -ffast-math option which allows even more aggressive tradeoffs of accuracy against speed."
"data_i","edited Jul 25 '22 at 02:42","
        How do I recover a dropped stash in Git?
    ","I frequently use git stash and git stash pop to save and restore changes in my working tree. Yesterday, I had some changes in my working tree that I had stashed and popped, and then I made more changes to my working tree. I'd like to go back and review yesterday's stashed changes, but git stash pop appears to remove all references to the associated commit.I know that if I use git stash then .git/refs/stash contains the reference of the commit used to create the stash. And .git/logs/refs/stash contains the whole stash. But those references are gone after git stash pop. I know that the commit is still in my repository somewhere, but I don't know what it was.Is there an easy way to recover yesterday's stash commit reference?","Once you know the hash of the stash commit you dropped, you can apply it as a stash:git stash apply $stash_hashOr, you can create a separate branch for it withgit branch recovered $stash_hashAfter that, you can do whatever you want with all the normal tools. When you’re done, just blow the branch away.Finding the hashIf you have only just popped it and the terminal is still open, you will still have the hash value printed by git stash pop on screen (thanks, Dolda).Otherwise, you can find it using this for Linux, Unix or Git Bash for Windows:git fsck --no-reflog | awk '/dangling commit/ {print $3}'...or using PowerShell for Windows:git fsck --no-reflog | select-string 'dangling commit' | foreach { $_.ToString().Split("" "")[2] }This will show you all the commits at the tips of your commit graph which are no longer referenced from any branch or tag – every lost commit, including every stash commit you’ve ever created, will be somewhere in that graph.The easiest way to find the stash commit you want is probably to pass that list to gitk:gitk --all $( git fsck --no-reflog | awk '/dangling commit/ {print $3}' )...or see the answer from emragins if using PowerShell for Windows.This will launch a repository browser showing you every single commit in the repository ever, regardless of whether it is reachable or not.You can replace gitk there with something like git log --graph --oneline --decorate if you prefer a nice graph on the console over a separate GUI app.To spot stash commits, look for commit messages of this form:        WIP on somebranch: commithash Some old commit messageNote: The commit message will only be in this form (starting with ""WIP on"") if you did not supply a message when you did git stash."
"data_i","edited Apr 06 '18 at 14:40","
        How do I center text horizontally and vertically in a TextView?
    ","How do I center the text horizontally and vertically in a TextView, so that it appears exactly in the middle of the TextView in Android?","I'm assuming you're using XML layout.<TextView      android:layout_width=""match_parent""     android:layout_height=""match_parent""     android:gravity=""center""    android:text=""@string/**yourtextstring**""/>You can also use gravity center_vertical or center_horizontal according to your need.As @stealthcopter commented, in java: .setGravity(Gravity.CENTER);.And for Kotlin users, .gravity = Gravity.CENTER"
